data_hora,capacidade_instalada,cluster
1998-12-09,5,cluster_NE_1
1999-01-09,5,cluster_NE_1
1999-02-09,5,cluster_NE_1
1999-03-09,5,cluster_NE_1
1999-04-09,5,cluster_NE_1
1999-05-09,5,cluster_NE_1
1999-06-09,5,cluster_NE_1
1999-07-09,5,cluster_NE_1
1999-08-09,5,cluster_NE_1
1999-09-09,5,cluster_NE_1
1999-10-09,5,cluster_NE_1
1999-11-09,5,cluster_NE_1
1999-12-09,5,cluster_NE_1
2000-01-09,5,cluster_NE_1
2000-02-09,5,cluster_NE_1
2000-03-09,5,cluster_NE_1
2000-04-09,5,cluster_NE_1
2000-05-09,5,cluster_NE_1
2000-06-09,5,cluster_NE_1
2000-07-09,5,cluster_NE_1
2000-08-09,5,cluster_NE_1
2000-09-09,5,cluster_NE_1
2000-10-09,5,cluster_NE_1
2000-11-09,5,cluster_NE_1
2000-12-09,5,cluster_NE_1
2001-01-09,5,cluster_NE_1
2001-02-09,5,cluster_NE_1
2001-03-09,5,cluster_NE_1
2001-04-09,5,cluster_NE_1
2001-05-09,5,cluster_NE_1
2001-06-09,5,cluster_NE_1
2001-07-09,5,cluster_NE_1
2001-08-09,5,cluster_NE_1
2001-09-09,5,cluster_NE_1
2001-10-09,5,cluster_NE_1
2001-11-09,5,cluster_NE_1
2001-12-09,5,cluster_NE_1
2002-01-09,5,cluster_NE_1
2002-02-09,5,cluster_NE_1
2002-03-09,5,cluster_NE_1
2002-04-09,5,cluster_NE_1
2002-05-09,5,cluster_NE_1
2002-06-09,5,cluster_NE_1
2002-07-09,5,cluster_NE_1
2002-08-09,5,cluster_NE_1
2002-09-09,5,cluster_NE_1
2002-10-09,5,cluster_NE_1
2002-11-09,5,cluster_NE_1
2002-12-09,5,cluster_NE_1
2003-01-09,5,cluster_NE_1
2003-02-09,5,cluster_NE_1
2003-03-09,5,cluster_NE_1
2003-04-09,5,cluster_NE_1
2003-05-09,5,cluster_NE_1
2003-06-09,5,cluster_NE_1
2003-07-09,5,cluster_NE_1
2003-08-09,5,cluster_NE_1
2003-09-09,5,cluster_NE_1
2003-10-09,5,cluster_NE_1
2003-11-09,5,cluster_NE_1
2003-12-09,5,cluster_NE_1
2004-01-09,5,cluster_NE_1
2004-02-09,5,cluster_NE_1
2004-03-09,5,cluster_NE_1
2004-04-09,5,cluster_NE_1
2004-05-09,5,cluster_NE_1
2004-06-09,5,cluster_NE_1
2004-07-09,5,cluster_NE_1
2004-08-09,5,cluster_NE_1
2004-09-09,5,cluster_NE_1
2004-10-09,5,cluster_NE_1
2004-11-09,5,cluster_NE_1
2004-12-09,5,cluster_NE_1
2005-01-09,5,cluster_NE_1
2005-02-09,5,cluster_NE_1
2005-03-09,5,cluster_NE_1
2005-04-09,5,cluster_NE_1
2005-05-09,5,cluster_NE_1
2005-06-09,5,cluster_NE_1
2005-07-09,5,cluster_NE_1
2005-08-09,5,cluster_NE_1
2005-09-09,5,cluster_NE_1
2005-10-09,5,cluster_NE_1
2005-11-09,5,cluster_NE_1
2005-12-09,5,cluster_NE_1
2006-01-09,5,cluster_NE_1
2006-02-09,5,cluster_NE_1
2006-03-09,5,cluster_NE_1
2006-04-09,5,cluster_NE_1
2006-05-09,5,cluster_NE_1
2006-06-09,5,cluster_NE_1
2006-07-09,5,cluster_NE_1
2006-08-09,54.3,cluster_NE_1
2006-09-09,54.3,cluster_NE_1
2006-10-09,54.3,cluster_NE_1
2006-11-09,54.3,cluster_NE_1
2006-12-09,54.3,cluster_NE_1
2007-01-09,54.3,cluster_NE_1
2007-02-09,54.3,cluster_NE_1
2007-03-09,54.3,cluster_NE_1
2007-04-09,54.3,cluster_NE_1
2007-05-09,54.3,cluster_NE_1
2007-06-09,54.3,cluster_NE_1
2007-07-09,54.3,cluster_NE_1
2007-08-09,54.3,cluster_NE_1
2007-09-09,54.3,cluster_NE_1
2007-10-09,54.3,cluster_NE_1
2007-11-09,54.3,cluster_NE_1
2007-12-09,64.5,cluster_NE_1
2008-01-09,64.5,cluster_NE_1
2008-02-09,64.5,cluster_NE_1
2008-03-09,64.5,cluster_NE_1
2008-04-09,64.5,cluster_NE_1
2008-05-09,64.5,cluster_NE_1
2008-06-09,64.5,cluster_NE_1
2008-07-09,64.5,cluster_NE_1
