cluster,data_hora,vento
cluster_NE_1,1979-01-01,6.88410109159985
cluster_NE_1,1979-02-01,6.05770339325624
cluster_NE_1,1979-03-01,6.17334381639655
cluster_NE_1,1979-04-01,6.30656683096948
cluster_NE_1,1979-05-01,6.30082872052606
cluster_NE_1,1979-06-01,7.96875287794862
cluster_NE_1,1979-07-01,8.23910836654491
cluster_NE_1,1979-08-01,8.60669224344315
cluster_NE_1,1979-09-01,8.80817848696755
cluster_NE_1,1979-10-01,8.64902830315782
cluster_NE_1,1979-11-01,7.8203316153448
cluster_NE_1,1979-12-01,7.3202864693055
cluster_NE_1,1980-01-01,6.545030751111
cluster_NE_1,1980-02-01,5.18977060857255
cluster_NE_1,1980-03-01,6.36949329935489
cluster_NE_1,1980-04-01,6.85721411067079
cluster_NE_1,1980-05-01,7.7044303236339
cluster_NE_1,1980-06-01,7.47089755130356
cluster_NE_1,1980-07-01,8.23332810147072
cluster_NE_1,1980-08-01,9.04206901388977
cluster_NE_1,1980-09-01,8.46881476238573
cluster_NE_1,1980-10-01,8.66815201502425
cluster_NE_1,1980-11-01,7.56089031029459
cluster_NE_1,1980-12-01,7.08372013599674
cluster_NE_1,1981-01-01,6.8668721925768
cluster_NE_1,1981-02-01,7.97463670548833
cluster_NE_1,1981-03-01,4.98062028527392
cluster_NE_1,1981-04-01,6.78361264806592
cluster_NE_1,1981-05-01,7.48804346195928
cluster_NE_1,1981-06-01,8.17119528309921
cluster_NE_1,1981-07-01,8.55804980690693
cluster_NE_1,1981-08-01,8.97547896971084
cluster_NE_1,1981-09-01,9.35674498155833
cluster_NE_1,1981-10-01,8.45738656733308
cluster_NE_1,1981-11-01,8.32647957506988
cluster_NE_1,1981-12-01,7.76216112004082
cluster_NE_1,1982-01-01,7.00031040997259
cluster_NE_1,1982-02-01,6.69502146887776
cluster_NE_1,1982-03-01,5.70753115192509
cluster_NE_1,1982-04-01,5.59345675097697
cluster_NE_1,1982-05-01,7.18061882813327
cluster_NE_1,1982-06-01,7.76432216601384
cluster_NE_1,1982-07-01,8.14590520726304
cluster_NE_1,1982-08-01,8.57392398991825
cluster_NE_1,1982-09-01,8.68300539147529
cluster_NE_1,1982-10-01,8.34525815284284
cluster_NE_1,1982-11-01,8.46593605988277
cluster_NE_1,1982-12-01,8.03603825347924
cluster_NE_1,1983-01-01,6.81346304535401
cluster_NE_1,1983-02-01,6.75491616386525
cluster_NE_1,1983-03-01,7.04722622447662
cluster_NE_1,1983-04-01,7.58116199803828
