Cluster,Data,CapInst_acum
cluster_NE_1,2017-01,5759.275
cluster_NE_1,2017-02,5759.275
cluster_NE_1,2017-03,5788.975
cluster_NE_1,2017-04,5818.675
cluster_NE_1,2017-05,5818.675
cluster_NE_1,2017-06,6002.275
cluster_NE_1,2017-07,6140.275
cluster_NE_1,2017-08,6195.475
cluster_NE_1,2017-09,6258.475
cluster_NE_1,2017-10,6289.975
cluster_NE_1,2017-11,6414.375
cluster_NE_1,2017-12,6572.675
cluster_NE_1,2018-01,6612.575
cluster_NE_1,2018-02,6637.775
cluster_NE_1,2018-03,6698.875
cluster_NE_1,2018-04,6698.875
cluster_NE_1,2018-05,6818.475
cluster_NE_1,2018-06,6858.375
cluster_NE_1,2018-07,6858.375
cluster_NE_1,2018-08,6858.375
cluster_NE_1,2018-09,6858.375
cluster_NE_1,2018-10,6858.375
cluster_NE_1,2018-11,6858.375
cluster_NE_1,2018-12,7164.375
cluster_NE_1,2019-01,7322.675
cluster_NE_1,2019-02,7385.675
cluster_NE_1,2019-03,7385.675
cluster_NE_1,2019-04,7408.775
cluster_NE_1,2019-05,7408.775
cluster_NE_1,2019-06,7408.775
cluster_NE_1,2019-07,7408.775
cluster_NE_1,2019-08,7408.775
cluster_NE_1,2019-09,7408.775
cluster_NE_1,2019-10,7505.975
cluster_NE_1,2019-11,7505.975
cluster_NE_1,2019-12,7597.535
cluster_NE_1,2020-01,7597.535
cluster_NE_1,2020-02,7659.905
cluster_NE_1,2020-03,7685.105
cluster_NE_1,2020-04,7757.555
cluster_NE_1,2020-05,7939.805
cluster_NE_1,2020-06,8006.705
cluster_NE_1,2020-07,8086.505
cluster_NE_1,2020-08,8124.305
cluster_NE_1,2020-09,8156.255
cluster_NE_1,2020-10,8232.485
cluster_NE_1,2020-11,8232.485
cluster_NE_1,2020-12,8361.455
cluster_NE_1,2021-01,8521.055
cluster_NE_1,2021-02,8582.405
cluster_NE_1,2021-03,8726.915
cluster_NE_1,2021-04,8849.87
cluster_NE_1,2021-05,8849.87
cluster_NE_1,2021-06,9116.53
cluster_NE_1,2021-07,9329.83
cluster_NE_1,2021-08,9699.965
cluster_NE_1,2021-09,9918.66
cluster_NE_1,2021-10,10201.11
cluster_NE_1,2021-11,10466.075
cluster_NE_1,2021-12,10955.865
cluster_NE_1,2022-01,11066.315
cluster_NE_1,2022-02,11196.515
cluster_NE_1,2022-03,11196.515
cluster_NE_1,2022-04,11255.315
cluster_NE_1,2022-05,11356.115
cluster_NE_1,2022-06,11356.115
cluster_NE_1,2022-07,11383.835
cluster_NE_1,2022-08,11493.35
cluster_NE_1,2022-09,11517.605
cluster_NE_1,2022-10,11517.605
cluster_NE_1,2022-11,11517.605
cluster_NE_1,2022-12,11916.605
cluster_NE_1,2023-01,12042.605
cluster_NE_1,2023-02,12160.205
cluster_NE_1,2023-03,12265.605
cluster_NE_1,2023-04,12352.405
cluster_NE_1,2023-05,12530.805
cluster_NE_1,2023-06,12564.405
cluster_NE_1,2023-07,12830.405
cluster_NE_1,2023-08,13151.805
cluster_NE_1,2023-09,13198.005
cluster_NE_1,2023-10,13247.605
cluster_NE_1,2023-11,13247.605
cluster_NE_1,2023-12,13462.205
cluster_NE_1,2024-01,13462.205
cluster_NE_1,2024-02,13462.205
cluster_NE_1,2024-03,13462.205
cluster_NE_1,2024-04,13486.46
cluster_NE_1,2024-05,13486.46
cluster_NE_1,2024-06,13486.46
cluster_NE_1,2024-07,13486.46
cluster_NE_1,2024-08,13486.46
cluster_NE_1,2024-09,13486.46
cluster_NE_1,2024-10,13486.46
cluster_NE_1,2024-11,13486.46
cluster_NE_1,2024-12,13859.26
cluster_NE_1,2025-01,13859.26
cluster_NE_1,2025-02,13859.26
cluster_NE_1,2025-03,13859.26
cluster_NE_1,2025-04,13859.26
cluster_NE_1,2025-05,13859.26
cluster_NE_1,2025-06,14258.46
cluster_NE_1,2025-07,14258.46
cluster_NE_1,2025-08,14258.46
cluster_NE_1,2025-09,14258.46
cluster_NE_1,2025-10,14258.46
cluster_NE_1,2025-11,14258.46
cluster_NE_1,2025-12,14302.46
cluster_NE_1,2026-01,14302.46
cluster_NE_1,2026-02,14302.46
cluster_NE_1,2026-03,14302.46
cluster_NE_1,2026-04,14302.46
